,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,Year
6285,Endinet,871688700000002681,Malagijsweg,5625HE,5625HE,EINDHOVEN,22.0,100.0,100.0,59,1x35,3673,40.91,13.64,
6286,Endinet,871688700000002681,Malagijsweg,5625HG,5625HG,EINDHOVEN,23.0,91.3,95.65,78,1x35,3299,17.39,8.7,
6287,Endinet,871688700000002681,Rosseelstraat,5625HH,5625HJ,EINDHOVEN,27.0,100.0,96.3,63,1x35,2858,14.81,11.11,
6288,Endinet,871688700000002681,Firapeellaan,5625HK,5625HK,EINDHOVEN,21.0,100.0,100.0,90,1x35,3927,4.76,4.76,
6289,Endinet,871688700000002681,Coppestraat,5625HL,5625HM,EINDHOVEN,28.0,100.0,100.0,75,1x35,2096,21.43,17.86,
6290,Endinet,871688700000002681,Cuwaertlaan,5625HN,5625HN,EINDHOVEN,15.0,100.0,100.0,87,1x35,2166,13.33,13.33,
6291,Endinet,871688700000002681,Cuwaertlaan,5625HP,5625HP,EINDHOVEN,15.0,100.0,100.0,87,1x35,2271,13.33,13.33,
6292,Endinet,871688700000002681,Echternachlaan,5625JA,5625JA,EINDHOVEN,25.0,100.0,96.0,60,1x35,8360,28.0,16.0,
6293,Endinet,871688700000002681,Echternachlaan,5625JB,5625JB,EINDHOVEN,40.0,100.0,100.0,80,1x35,1790,10.0,7.5,
6294,Endinet,871688700000002681,Echternachlaan,5625JC,5625JC,EINDHOVEN,40.0,100.0,100.0,85,1x35,1576,10.0,5.0,
6295,Endinet,871688700000002681,Echternachlaan,5625JD,5625JD,EINDHOVEN,39.0,100.0,100.0,74,1x35,3764,12.82,2.56,
6296,Endinet,871688700000002681,Echternachlaan,5625JE,5625JE,EINDHOVEN,22.0,100.0,100.0,95,1x35,1698,4.55,0.0,
6297,Endinet,871688700000002681,Echternachlaan,5625JG,5625JG,EINDHOVEN,25.0,100.0,100.0,92,1x35,1769,16.0,8.0,
6298,Endinet,871688700000002681,Echternachlaan,5625JH,5625JH,EINDHOVEN,25.0,100.0,100.0,84,1x35,1806,8.0,0.0,
6299,Endinet,871688700000002681,Echternachlaan,5625KA,5625KA,EINDHOVEN,32.0,100.0,100.0,75,1x35,1806,9.38,9.38,
6300,Endinet,871688700000002681,Echternachlaan,5625KB,5625KB,EINDHOVEN,30.0,100.0,100.0,83,1x35,1837,10.0,6.67,
6301,Endinet,871688700000002681,Echternachlaan,5625KC,5625KC,EINDHOVEN,25.0,100.0,100.0,96,1x35,1828,4.0,0.0,
